-- New Times Rally 77 SSR3
- Start Times

Difference   | key   | firstTime       | secondTime     
    10.0 sec | 503   | 14:53:00        | 14:53:10       
    11.0 sec | 506   | 14:51:00        | 14:51:11       
    10.0 sec | 511   | 14:55:00        | 14:55:10       
    10.0 sec | 512   | 13:52:00        | 13:52:10       
    10.0 sec | 513   | 14:27:00        | 14:27:10       
    10.0 sec | 514   | 14:59:00        | 14:59:10       
    12.0 sec | 518   | 14:57:00        | 14:57:12       
   129.0 sec | 521   | 14:19:00        | 14:21:09       
    10.0 sec | 524   | 14:01:00        | 14:01:10       
    10.0 sec | 525   | 14:39:00        | 14:39:10       
    12.0 sec | 526   | 14:45:00        | 14:45:12       
    11.0 sec | 527   | 14:31:00        | 14:31:11       
    11.0 sec | 528   | 14:09:00        | 14:09:11       
    10.0 sec | 529   | 13:40:00        | 13:40:10       
     9.0 sec | 533   | 14:29:00        | 14:29:09       
    10.0 sec | 534   | 14:13:00        | 14:13:10       
    11.0 sec | 537   | 14:41:00        | 14:41:11       
     9.0 sec | 538   | 14:49:00        | 14:49:09       
    10.0 sec | 540   | 14:15:00        | 14:15:10       
    11.0 sec | 543   | 14:19:00        | 14:19:11       
    12.0 sec | 545   | 15:01:00        | 15:01:12       
     9.0 sec | 546   | 13:55:00        | 13:55:09       
    10.0 sec | 547   | 14:47:00        | 14:47:10       
    10.0 sec | 550   | 14:04:00        | 14:04:10       
    10.0 sec | 555   | 14:23:00        | 14:23:10       
     9.0 sec | 560   | 14:25:00        | 14:25:09       
    12.0 sec | 569   | 14:35:00        | 14:35:12       
     9.0 sec | 577   | 14:33:00        | 14:33:09       
    11.0 sec | 579   | 14:37:00        | 14:37:11       
     9.0 sec | 582   | 13:58:00        | 13:58:09       
    11.0 sec | 583   | 14:43:00        | 14:43:11       
     9.0 sec | 587   | 13:43:00        | 13:43:09       
    10.0 sec | 588   | 14:11:00        | 14:11:10       
     9.0 sec | 590   | 14:17:00        | 14:17:09       
     9.0 sec | 593   | 13:49:00        | 13:49:09       
     9.0 sec | 595   | 14:07:00        | 14:07:09       
    10.0 sec | 598   | 15:03:00        | 15:03:10       
     9.0 sec | 599   | 13:46:00        | 13:46:09       
Not pair for key 0
Not pair for key 900
Not pair for key 999

- Finish Times

Difference   | key   | firstTime       | secondTime     
    -1.0 sec | 503   | 15:49:50.0      | 15:49:49       
    -0.7 sec | 506   | 15:45:26.7      | 15:45:26       
    -0.3 sec | 511   | 15:39:15.3      | 15:39:15       
     0.0 sec | 512   | 14:34:51.0      | 14:34:51       
    -1.0 sec | 513   | 15:11:26.0      | 15:11:25       
     0.0 sec | 514   | 15:45:50.0      | 15:45:50       
    -0.8 sec | 518   | 15:44:47.8      | 15:44:47       
    -0.4 sec | 521   | 15:04:40.4      | 15:04:40       
    -0.4 sec | 524   | 14:44:30.4      | 14:44:30       
    -1.0 sec | 525   | 15:25:10.0      | 15:25:09       
    -0.7 sec | 526   | 15:38:12.7      | 15:38:12       
    -0.4 sec | 527   | 15:16:14.4      | 15:16:14       
    -0.3 sec | 528   | 14:52:05.3      | 14:52:05       
    -0.4 sec | 529   | 14:20:49.4      | 14:20:49       
    -0.1 sec | 533   | 15:14:41.1      | 15:14:41       
    -0.4 sec | 534   | 14:56:21.4      | 14:56:21       
    -0.6 sec | 537   | 15:28:06.6      | 15:28:06       
    -0.6 sec | 538   | 15:31:09.6      | 15:31:09       
    -0.6 sec | 540   | 14:58:30.6      | 14:58:30       
    -0.5 sec | 543   | 15:02:56.5      | 15:02:56       
    -0.2 sec | 545   | 15:56:29.2      | 15:56:29       
     0.1 sec | 546   | 14:39:06.9      | 14:39:07       
    -0.8 sec | 547   | 15:32:45.8      | 15:32:45       
     0.0 sec | 550   | 14:48:12.0      | 14:48:12       
    -0.4 sec | 555   | 15:08:53.4      | 15:08:53       
    -0.1 sec | 560   | 15:06:35.1      | 15:06:35       
    -0.9 sec | 569   | 15:25:52.9      | 15:25:52       
    -0.8 sec | 577   | 15:15:14.8      | 15:15:14       
    -0.2 sec | 579   | 15:18:53.2      | 15:18:53       
    -0.5 sec | 582   | 14:40:21.5      | 14:40:21       
    -0.9 sec | 583   | 15:30:07.9      | 15:30:07       
    -0.8 sec | 587   | 14:23:21.8      | 14:23:21       
    -0.2 sec | 588   | 14:54:23.2      | 14:54:23       
    -1.0 sec | 590   | 14:59:44.0      | 14:59:43       
    -0.7 sec | 593   | 14:29:28.7      | 14:29:28       
    -0.4 sec | 595   | 14:49:12.4      | 14:49:12       
    -0.8 sec | 598   | 15:46:04.8      | 15:46:04       
    -0.7 sec | 599   | 14:26:25.7      | 14:26:25       
Not pair for key 0
Not pair for key 900
Not pair for key 999
